Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Name,1TT,2TT,3TT,4TT,1PE,2PE,3PE,4PE,1OR,2OR,3OR,1LG,2LG,3LG,4LG,2LE,3LE,4LE,1LA,2LA,3LA,4LA,2GE,3GE,4GE,1EU,2EU,3EU,4EU,2BE,3BE,4BE
Class,TT,TT,TT,TT,PE,PE,PE,PE,OR,OR,OR,LG,LG,LG,LG,LE,LE,LE,LA,LA,LA,LA,GE,GE,GE,EU,EU,EU,EU,BE,BE,BE
 9.17043 - 9.19043,-3.56735,-0.572695,-3.33536,-2.0363,-2.86956,2.18283,-5.70396,-1.84241,-4.73663,-4.87828,-3.69954,-2.91701,-3.01818,-1.70722,-3.50126,0.129958,-1.46283,20.6979,-0.678032,-0.563762,-3.32639,-1.72009,-1.20013,-0.874384,-4.28726,0.28944,-3.83117,-0.354831,1.90727,-1.66553,0.521361,-3.99802
 9.15043 - 9.17043,-5.12788,-0.205815,-3.65952,-1.79215,-2.33159,5.01488,-4.85499,-2.60654,-4.18172,-1.94206,-3.61001,-2.96762,-1.70017,-3.52324,-2.17733,-0.766166,-4.27218,2.00366,0.875075,-1.17845,-1.49197,-2.4456,-1.03396,-0.911883,-2.62831,-0.243732,-3.226,0.0546475,1.19476,-3.51673,3.25962,0.161092
 9.13043 - 9.15043,-3.86497,0.186914,-4.50828,-0.433628,-0.709634,2.90431,-6.05896,-1.87753,-3.81212,-5.45548,-1.67451,-1.89829,-1.97818,-3.34881,-1.85259,-0.269597,-1.56764,-14.7212,-0.707039,-1.3611,-3.00346,-2.07711,-2.01353,-2.32745,-3.02033,0.881056,-2.57224,24.1013,1.03558,-3.58633,1.45794,-1.6771
 9.11043 - 9.13043,-5.45982,1.67837,-2.9012,-0.776527,-0.0665316,3.88256,-5.01893,-3.01817,-2.98839,-6.54012,-2.9953,-4.15456,-2.26918,-2.9226,-1.28209,-0.588918,-1.83849,-23.3212,-1.6855,-1.26583,-1.3591,-3.03956,-1.35508,-2.44814,-5.04496,0.54733,-3.45515,2.75553,3.21581,-5.15889,1.14631,-3.14799
 9.09043 - 9.11043,-5.31379,1.04765,-2.8947,-1.85123,-0.452108,4.23101,-6.53569,-2.32262,-6.89287,-5.40176,-2.16226,-2.71695,-2.86045,-1.53247,-3.23435,-0.983311,-2.09458,-18.0652,-1.24345,-0.504563,-3.93011,-3.50967,-1.8271,-1.21146,-2.24873,1.40873,-1.93784,-0.743539,3.26823,-1.63149,1.40902,-3.87709
 9.07043 - 9.09043,-4.47648,-1.38563,-3.76247,-0.78202,0.0174516,3.57035,-4.12694,-2.68413,-4.18524,-6.08511,-1.5669,-3.03546,-3.6517,-1.92403,-2.81141,0.0253654,-1.56613,-2.7446,-1.57661,-1.65142,-3.09664,-2.14608,1.8511,-1.96903,-3.23702,-0.177309,-1.8864,-0.746249,3.34006,-1.02685,1.85117,-2.06862
 9.05043 - 9.07043,-4.19498,-0.10934,-3.19693,0.903663,0.214594,3.21345,-4.26929,-3.09019,-6.18968,-1.70224,-3.74614,-3.71628,-2.98591,-1.3842,-1.78228,-2.1716,0.214408,1.35171,-0.670047,0.396085,-1.17129,-3.29432,-1.14477,-1.61552,-1.81831,0.345539,-2.48248,-0.804851,29.2275,-6.52384,0.692588,-2.99228
 9.03043 - 9.05043,-5.30512,-1.80217,-2.21798,-0.303364,-1.32729,3.32452,-4.77774,-3.47473,-10.3125,-2.64443,-4.28359,-2.92887,-3.2276,-3.90951,-3.06746,-1.91662,-2.77248,-3.59502,-2.16052,-1.39125,-3.27821,-2.69064,-3.07215,-1.06451,-3.31347,1.61873,-3.48911,-2.50156,5.8185,-0.514155,-0.470507,-2.33849
 9.01043 - 9.03043,-5.99471,-1.02428,-3.17444,1.22177,-0.0594061,1.43014,-3.30665,-4.1298,-3.66487,-8.29656,-3.06389,-2.32505,-2.36598,-4.17663,-1.85476,-1.47275,-2.72798,4.60962,-1.51886,-1.42513,0.332881,-2.36563,2.05198,-0.90442,0.869752,17.9533,-3.21884,-0.0158167,1.70124,-4.06244,-1.55186,-3.99022
 8.99043 - 9.01043,-3.77277,-0.627618,-2.08994,0.148766,-2.88786,2.43441,-3.726,-4.4732,-4.16183,-2.80142,-2.26453,-4.52876,-2.60671,-6.76768,-1.67693,-0.326969,-2.62474,15.4839,-0.233672,-1.12581,-2.50841,-2.83507,-2.64755,-2.13185,-1.69528,0.620322,-3.26684,-1.98876,1.81219,-3.91492,-1.39597,-5.43537
 8.97043 - 8.99043,-4.16408,-0.22296,-3.69822,-0.0371532,-1.09941,4.74595,-2.36264,-2.19968,-4.06747,-3.98353,-5.27168,-2.76475,-3.83066,-5.04218,-1.21271,-0.377253,-1.45363,21.5787,-1.08499,-2.43717,-3.25039,-2.20491,-3.75534,-1.24354,-4.06741,0.689619,-2.92875,0.95381,0.569702,1.83912,-2.71972,-3.44991
 8.95043 - 8.97043,-7.09523,1.11818,-3.98453,-0.668709,-1.14652,3.90426,-3.44516,-3.83834,-8.21849,-3.26234,-3.74934,-4.20827,-3.12711,-2.70196,-2.20714,-1.63695,-1.10378,14.4255,-1.81383,-0.588812,-0.353976,-2.9985,4.59738,-2.54537,-1.13903,-0.326689,-3.341,-1.0537,-1.05143,-4.4257,-1.09039,-2.1342
 8.93043 - 8.95043,-6.00945,-1.22916,-3.21616,-1.22512,-2.66097,4.6271,-3.39549,-3.72992,-3.3446,-4.66909,-5.59241,-1.17423,-1.57867,-4.29365,-1.11786,1.42402,-3.01401,0.631476,-1.35602,-0.936459,-0.9559,-1.40222,-2.7205,-2.00518,-0.151392,0.154783,-5.31004,-1.44015,1.10491,-1.05302,-0.693475,-5.53292
 8.91043 - 8.93043,-6.98181,0.443441,-4.1533,-2.24491,-1.99225,4.07698,-3.82437,-3.43616,-2.0722,-4.20687,-3.42757,-5.81619,-0.487542,-5.64479,-0.944786,0.278545,-3.06442,-18.2676,-0.844764,-1.84012,-1.80774,-2.62873,3.46811,-0.910628,-2.52215,0.487992,-4.15466,-1.65509,1.41321,-0.299592,-0.0124783,-5.51784
 8.89043 - 8.91043,-7.08717,0.939422,-4.18361,-3.45941,-3.02408,3.41472,-2.89784,-2.4242,-4.41975,-3.30714,-2.68587,-1.10226,-1.69398,-2.61497,-2.56875,-1.09959,-2.25682,-27.5763,-2.44703,-1.68745,-2.39157,0.41803,-1.84243,-2.88261,-3.48944,0.000107215,-3.56778,-0.991197,0.395494,-4.49805,-1.44933,-3.93589
 8.87043 - 8.89043,-4.51886,0.045421,-1.97328,-2.99813,-2.27845,4.92659,-3.58265,-2.45117,-3.57356,-4.19113,-3.321,-2.10321,-3.31344,-2.71703,-2.06101,-0.122795,-2.88876,-27.8822,-0.785096,0.514176,-1.70004,-0.7873,2.3769,-1.24376,-4.67924,-0.218487,-3.43841,-2.46703,0.874059,0.0946541,0.176484,-2.05166
 8.85043 - 8.87043,-3.80739,-0.550006,-2.59427,-2.83808,-2.39225,2.86333,-3.73001,-1.59048,-6.18421,-4.75016,-3.40224,-3.08673,-1.47221,-4.73251,-1.54719,-1.21606,-4.88354,-11.3498,-0.442424,-1.22427,-1.60652,-3.24241,-0.11639,-2.94247,-1.19933,0.47218,-4.64755,-1.76143,1.93376,-6.115,-0.621269,-3.00717
 8.83043 - 8.85043,-4.92026,1.23991,-2.548,-2.08943,-2.96697,2.39569,-5.22279,-2.29339,-4.32465,-3.08399,-1.81236,-1.10719,-1.2451,-3.63633,-4.68714,-1.20992,-2.69379,15.7083,-1.50515,-1.49591,-2.98408,-1.92538,-3.1102,-2.24012,-3.02353,-0.00660376,-1.94161,-0.771042,0.8955,-1.61492,-1.07777,-2.34345
 8.81043 - 8.83043,-5.29074,-0.974553,-3.16844,-1.8216,-2.83029,1.17076,-3.53555,-0.761437,-7.66518,-6.07748,-2.47743,-1.81877,-2.06996,-3.70203,-3.27095,-0.313073,-1.39334,26.8525,-1.57068,0.602465,-4.28542,-3.51072,1.59734,-2.14034,-6.46199,0.627512,-2.19186,-1.02544,-0.662742,-1.05317,-0.510018,-3.1512
 8.79043 - 8.81043,-5.19808,-0.0561296,-1.67581,-1.92196,-4.13691,1.28941,-3.45565,-2.78086,-3.93626,-7.62978,-4.71243,-2.19302,-3.80762,-3.65491,-2.58549,-1.01933,-4.09295,20.6985,-1.26181,0.420393,-2.76064,-2.14637,-0.626131,-2.27543,-3.3003,0.901303,-1.60661,-3.24971,-1.40259,-2.63596,0.152753,-3.45772
 8.77043 - 8.79043,-5.05128,-0.726914,-3.53519,-0.109054,-3.48743,2.8107,-4.85823,-1.96199,-5.01259,0.300399,-3.2803,-3.62045,-2.6335,-2.15368,-4.61973,-0.353196,-1.19098,9.67457,0.578808,-0.400508,-3.03751,-3.85756,-1.80051,-2.40255,-2.41018,0.971069,1.33509,-1.46827,-0.0763548,-1.00909,-1.33777,-5.0855
 8.75043 - 8.77043,-5.41693,1.54775,-3.02849,-2.88236,-4.11277,2.76609,-4.13677,-4.39266,-6.14361,-4.17288,-4.13417,-3.3563,-3.25569,-4.20212,-3.57167,0.381825,-2.6852,-0.560836,-2.14039,0.995365,-1.39953,-4.04598,0.78249,-2.6242,-3.59596,0.422683,-2.3211,-1.1132,2.3941,-9.56849,-0.290149,-2.0036
 8.73043 - 8.75043,-4.04284,2.32358,-3.35426,-3.07228,-2.51113,3.17883,-5.38027,-3.84856,-5.50008,-4.8632,-3.08733,-2.64292,-3.28236,-2.58581,-3.40335,-0.482832,-4.51695,-3.30821,-1.90471,1.4537,-1.97396,-3.60802,-1.90437,-2.94085,-6.37509,0.632294,-3.76135,-1.25347,0.312555,-1.94333,-0.909645,-3.75846
 8.71043 - 8.73043,-6.51463,1.38352,-2.24585,-0.366913,-3.14635,1.78401,-5.04457,-3.01025,-5.97628,-5.65652,-3.50777,-3.84727,-2.46962,-3.2371,-2.5826,0.716087,-2.21369,-13.8297,-0.566769,-1.04428,-1.60871,-3.30796,-0.77247,-1.52882,-4.08396,0.277718,-2.52443,-0.988657,-0.345557,1.94126,0.967681,-4.63928
 8.69043 - 8.71043,-5.24546,0.845381,-2.813,-0.39635,-1.96927,2.63528,-3.77092,-4.54728,-6.23394,-3.56199,-1.33615,-3.3921,-4.23191,-3.92186,-1.22737,-0.527359,-3.77449,-19.6935,-2.43926,-0.659902,-3.98297,-1.82175,2.95214,-2.46645,-2.86212,0.554029,-2.55191,-3.81934,1.3405,-2.92788,-0.309268,-1.05918
 8.67043 - 8.69043,-5.79891,1.59623,-4.41417,-0.840663,-2.50187,1.44483,-6.59898,-3.4336,-4.85164,-5.94544,-3.25987,-4.06302,-3.41923,-5.82246,-0.771421,-0.25534,-4.48098,-18.9282,-2.07182,-1.38522,-1.20643,-2.78432,1.17438,-0.959557,-3.03546,0.307225,-4.36437,-2.01717,2.03147,-1.70661,-0.485616,-3.10287
 8.65043 - 8.67043,-4.47748,0.759137,-3.23609,-2.44057,-3.8331,3.0735,-3.65394,-3.50572,-5.50798,-5.03625,-3.01844,-3.55695,-4.78487,-3.52424,-2.75174,0.179267,0.469751,-15.2055,-0.856348,-1.42624,-2.25323,-3.02684,0.970639,-1.0746,-4.33176,0.989498,-4.78545,-4.561,2.84057,-4.54008,-0.652798,-2.77784
 8.63043 - 8.65043,-4.1104,1.24301,-3.34111,0.572245,-4.55869,0.569018,-5.88846,-4.37426,-5.66958,-7.66909,-4.55758,-4.03586,-1.55585,-3.92736,-2.19762,0.636002,-1.85899,8.62157,0.605515,-0.260523,-5.85536,-1.61572,-2.74112,-1.70087,-4.64379,1.47145,-4.10194,-0.973022,3.80235,-5.74786,-2.58509,-2.32237
 8.61043 - 8.63043,-3.85997,1.27802,-2.5531,0.551511,-3.54333,2.86107,-4.52699,-4.09394,-7.15697,-3.18104,-1.80735,-4.28134,-3.77872,-3.27894,-0.299531,0.60018,-0.488447,23.3826,-0.153677,-0.643129,-1.1166,-1.98689,4.03882,-1.63458,-2.66305,0.316441,-3.3929,-2.75994,2.66681,5.11234,-2.63309,-1.5895
 8.59043 - 8.61043,-5.76392,0.465866,-3.62127,0.493651,-3.4815,3.03004,-4.26506,-5.60623,-6.74535,-6.68093,-7.40613,-2.86438,-0.890229,-3.85269,-1.80804,-0.737048,1.839,28.5658,0.0239354,0.81838,0.39696,-1.07236,0.0879365,-1.83071,-3.18275,-0.846328,-1.67672,-4.97256,3.42579,-1.34396,-3.19335,-1.64224
 8.57043 - 8.59043,-5.28246,-4.70592,-4.29345,0.656136,-4.81637,3.21576,-3.68754,-5.7848,-5.70646,-7.05578,-3.43529,-5.28473,-0.466034,-5.10603,-1.69369,-0.191403,-0.663244,17.4675,-1.20708,-1.48392,-5.12214,0.699161,-0.663536,-1.53151,-4.29212,-1.51056,2.40742,5.72223,0.939163,-2.67377,-2.7871,-1.71411
 8.55043 - 8.57043,-3.72221,-7.45296,-3.94369,0.982595,-3.34071,0.840493,-5.13172,-2.84727,-5.58278,-0.814937,-4.95951,-1.46077,2.19274,-3.69828,-0.688742,-1.09001,-1.18897,0.866768,-4.59595,-0.057365,-1.82976,2.15051,0.0405905,-1.31356,-2.27567,0.107033,2.01189,-3.54451,-0.867571,-0.480105,-0.325991,0.038529
 8.53043 - 8.55043,-6.43977,-4.91286,-3.01318,-1.51689,-2.81753,2.95013,-3.98238,-0.295751,-6.64831,-4.34061,-2.53659,-2.53463,-1.30259,-4.26586,-2.28578,-1.40144,-4.86022,-14.4935,-4.97345,0.288556,-2.41734,-0.051002,-1.01973,-2.27866,-5.73923,-0.316129,-1.56219,-2.07423,-3.7916,-2.39876,6.30147,-3.50502
 8.51043 - 8.53043,-4.69705,-3.76581,-3.05871,-1.99287,-2.35321,2.51388,-3.66232,-0.128009,-5.22799,-3.91897,-3.76312,-1.36128,-0.998745,-4.64483,-1.05369,-0.712153,-4.30405,-23.6892,-4.3778,-0.746722,-4.13856,-2.79513,0.0165656,-2.92967,-3.2131,-0.152142,-1.80226,-2.28886,-0.653139,-2.52911,2.88979,-1.60212
 8.49043 - 8.51043,-5.56432,-3.83611,-4.26478,-3.20768,-0.656193,0.981652,-5.42714,0.446723,-2.68507,-2.57163,-2.15289,-2.84749,-2.86265,-3.44931,-0.561184,-1.33044,-4.18714,-22.9807,-1.39135,-1.94203,-4.66883,-4.44433,-2.21068,-2.86142,-5.78756,0.255804,0.074027,-0.287621,-1.80401,-3.40763,1.04018,0.64341
 8.47043 - 8.49043,-6.85827,-2.04768,-2.92641,-1.55911,-1.80165,2.18447,-4.67769,-1.05429,-4.93193,-5.25056,-1.29581,-3.71287,-2.85702,-3.49219,-1.05276,-0.244677,-3.62726,-14.7855,-1.03275,-2.15843,-3.76179,-5.5763,1.46416,-2.23029,-4.13786,-0.727054,-2.52032,-2.98045,-1.32315,-2.16159,0.184952,6.28183
 8.45043 - 8.47043,-4.90021,-2.85634,-3.19485,-1.70094,-0.824536,-0.187272,-5.33109,-1.55782,-6.37937,-7.17847,-3.02541,-2.07227,-2.75456,-4.71429,-2.04565,-0.895532,-3.19433,0.930382,-0.874368,-3.22407,-4.43638,-5.40379,-0.034987,-3.14415,-4.57303,0.0827572,-2.46299,-1.60435,-0.523742,-2.24265,-0.025389,5.63437
 8.43043 - 8.45043,-6.94993,-0.104686,-5.75291,-0.105295,-2.84806,0.39671,-5.21593,-2.17607,-7.32876,-5.59483,-3.38752,-1.5112,-0.899337,-4.83868,-3.0291,0.599358,-5.93577,12.9004,-0.280803,-2.56193,-2.84384,-5.54895,-1.09069,-0.18775,-5.65515,-0.285624,-3.86669,-0.205132,-2.04537,-5.54324,-0.186777,1.15399
 8.41043 - 8.43043,-6.2057,-0.32241,-2.32332,-2.90664,-0.753502,-0.0102233,-4.53428,-3.12125,-5.29615,-2.70277,-3.69256,-2.64828,-1.70861,-4.76264,-1.57884,1.98709,-4.43645,23.5798,-2.77593,-0.675222,-3.66868,-2.9977,3.55796,-0.687631,-0.145835,1.17097,-3.99668,-3.00326,-0.484962,2.79556,-0.0299782,-0.890616
 8.39043 - 8.41043,-3.62801,-0.42814,-2.10642,-0.618927,-0.984729,0.664458,-4.12228,-3.06983,-4.22665,-5.12529,-4.69836,-4.45935,-0.837377,-4.45628,-1.61197,2.30424,-4.33665,29.6071,-4.25468,-0.793386,-3.05029,-3.65002,-3.9585,-0.163767,-4.28552,0.594157,-2.38608,1.73608,-0.0202506,-0.869665,-1.12323,-1.55909
 8.37043 - 8.39043,-5.49233,-1.45584,-5.09455,-2.51632,-1.87681,-0.22693,-4.32178,-1.60348,-7.3074,-4.73544,-2.12844,-3.73775,-2.7259,-5.00379,-0.525939,-1.70911,-3.34036,16.915,-2.13943,-0.781969,-7.80432,-2.17817,0.0380391,-1.9682,-5.31271,-0.460814,-1.70262,-2.80655,0.0253477,0.795943,-0.160866,-2.26867
 8.35043 - 8.37043,-5.38201,0.212741,-3.26684,-2.59622,-2.36773,2.53801,-4.29839,-2.39977,-6.35186,-4.78141,-4.36221,-3.64805,-3.95908,-4.19728,-2.03575,-1.06058,-3.80678,-1.04074,-1.94688,-0.968075,-3.33592,-2.43709,0.0443752,-1.88166,-3.55154,0.151473,2.52313,-1.91241,-1.86194,-2.24276,0.917183,-2.55917
 8.33043 - 8.35043,-5.10292,1.05402,-5.64954,-2.64326,-0.838647,0.823885,-4.71368,-2.86381,-7.26514,-6.50658,-3.82242,-3.89636,-2.65792,-6.3165,-3.47121,-0.798952,-4.90434,-23.9865,-3.0135,-1.22088,-2.3148,-2.55816,-0.272943,-1.24539,-3.68306,-0.155148,-1.14569,-3.96949,-0.858164,-5.87684,0.285875,-2.51559
 8.31043 - 8.33043,-5.5218,-0.588422,-3.82869,-2.56226,-2.16599,2.86429,-5.039,-2.74941,-3.3142,-2.67135,-2.93054,-2.61719,-2.20151,-2.7367,-2.8374,-0.742907,-2.81588,-31.8438,-1.46276,-0.278567,-2.71715,-2.51792,1.11124,-1.89195,-2.70892,-0.127809,-2.55248,-2.98721,-0.584912,-0.935879,1.13424,-1.43501
 8.29043 - 8.31043,-6.072,-1.29245,-4.29958,-1.10566,-2.69731,0.409967,-5.18603,-3.25205,-9.11168,1.04833,0.00876723,-4.58549,-1.67067,-5.11638,-3.0906,1.05791,-6.47096,-30.3938,-1.21096,-0.275731,-3.18531,-4.08132,-2.28676,-2.77473,-4.81747,0.493738,-2.2997,-2.42737,-1.50165,-2.23518,7.10535,-0.305298
 8.27043 - 8.29043,-5.04636,-1.04457,-3.66969,-2.53255,-2.05019,0.0448406,-6.21074,-3.58727,-5.50643,-7.99079,-2.10608,-5.37521,-4.05765,-4.37872,-3.67709,-0.340542,-3.42503,-13.0273,-0.370214,-3.1042,-4.04898,-3.33841,0.563638,-2.42463,-5.0657,0.105331,-3.50704,-1.85156,-0.883821,-0.648487,2.34455,-1.83981
 8.25043 - 8.27043,-4.23801,-1.25652,-3.99266,-1.6497,-2.19556,0.346042,-5.95787,-2.33998,-6.35245,-4.13144,-0.662838,-6.46131,-1.14075,-4.58119,-2.70227,0.185725,-2.71466,10.5097,-0.972961,-1.97443,-2.75783,-4.16972,-1.13226,-2.24253,-5.42633,-0.156273,-5.0972,-0.863797,0.179581,-1.4656,-0.328298,-4.19631
 8.23043 - 8.25043,-4.76442,0.681463,-4.85201,-0.0758283,-5.02299,-0.720532,-4.41473,-4.16071,-2.69962,-5.70382,-3.57811,-3.93992,-0.616359,-4.28958,-1.8428,0.584626,-3.13397,29.462,-3.3099,-1.69244,-2.57308,-3.51768,-1.07795,-2.76218,-7.78705,-0.00775491,-4.24697,-1.47212,1.28401,-3.8345,0.43512,-1.12837
 8.21043 - 8.23043,-6.35371,-0.44947,-4.38292,-2.41256,-3.12032,0.20394,-4.60521,-4.44822,-7.05716,-3.33524,-2.29211,-3.16514,-1.13807,-3.58557,-1.70917,2.09828,-0.783108,34.3758,-2.78549,-1.99827,-4.82639,-2.25968,0.737194,-5.06799,-7.46074,-0.431894,-2.61091,-4.6959,1.76859,-2.10519,-1.16459,-0.572706
 8.19043 - 8.21043,-6.85396,-2.02099,-4.16084,-2.02151,-2.75171,0.446942,-4.71156,-2.44457,-4.89922,-6.63219,-3.82159,-4.60439,-1.86097,-5.28068,-1.61844,-0.503943,-3.9586,29.1955,-3.20101,-2.62826,-3.87084,-3.9446,1.08794,-4.67757,-7.97381,0.172274,-2.64309,-2.37092,0.421749,1.64413,-1.01626,-0.94674
 8.17043 - 8.19043,-3.31449,-1.9065,-4.74109,-1.05802,-3.76296,-0.467013,-6.144,-3.54912,-3.57985,-1.65913,-6.39387,-3.45877,-0.693464,-6.22252,-2.15532,-0.899011,-4.21456,5.30085,-1.62089,-1.35942,-2.68879,-1.63281,5.00168,-3.92934,-7.16606,-0.0942483,-2.13755,-1.45311,-0.458738,1.1061,-1.16001,-2.90768
 8.15043 - 8.17043,-4.59787,-3.55015,-2.37753,-1.51122,-2.55299,1.84717,-5.12319,-3.14975,-5.25789,-7.05166,-2.57952,-4.46124,-1.97668,-4.87397,-3.34675,-0.336785,-3.60343,-16.511,-3.42133,-2.70032,-1.49687,-3.53804,-1.66493,-2.6511,-8.25785,-0.454108,-2.51091,-0.585789,-0.701208,-2.46402,0.547677,-1.91811
 8.13043 - 8.15043,-5.04835,-2.13285,-5.02288,-1.51476,-1.34295,2.21639,-6.24323,-3.16297,-4.99025,-3.69152,-3.1341,-2.76891,-1.81727,-3.96495,-3.91421,1.23124,-6.42055,-30.7791,-2.59154,-2.46843,-3.20727,-2.3703,6.89627,-5.8623,-6.37587,-0.258425,-3.42506,-2.51654,-0.354975,2.48492,2.70406,-1.85179
 8.11043 - 8.13043,-5.35395,-0.0092794,-5.32766,-2.42244,-0.498566,1.17613,-6.08065,-0.908557,-3.92777,-4.688,-2.63343,-2.4608,-1.71317,-4.36019,-2.39038,1.26389,-5.69464,-31.2172,-3.65721,-2.39878,-4.59231,-3.93094,4.72099,-4.11388,-6.47172,-0.502366,-3.61286,-0.0353453,0.152843,-1.01805,0.710207,-1.7545
 8.09043 - 8.11043,-3.20942,0.00305216,-3.66408,-1.40099,0.639399,1.44347,-1.62671,2.07406,-2.10583,-3.21801,-0.862347,-3.2082,-1.90618,-2.85656,0.0139343,0.322747,-3.81255,-25.176,-1.09606,-1.86202,2.34805,-1.66969,117.472,0.104097,-7.43509,0.636427,-2.39762,-2.45687,-0.231028,1.14789,-0.199514,2.4533
 8.07043 - 8.09043,-5.72427,-1.90745,-6.12046,-1.71561,1.33027,2.33369,-6.37075,2.83413,-5.66821,-5.10839,-2.62953,-5.00148,-2.44699,-3.93108,-2.30017,-1.58587,-2.26047,-8.01786,-1.65468,0.0696066,-1.69111,-4.3665,93.5964,3.94362,-1.01042,-0.617913,-3.29336,-4.64791,-0.739887,0.384323,-2.22508,-2.27581
 8.05043 - 8.07043,-5.81402,-0.735814,-2.16067,-0.789968,2.0526,3.2336,-5.35536,5.03908,-5.87566,-6.03628,-1.76498,-4.89536,0.0231297,6.82413,-0.130295,-1.70523,-2.7731,7.41567,-2.49134,-0.888657,-2.93782,-4.71915,143.789,67.0833,401.943,0.0881524,-2.14936,-2.23479,-0.681795,-5.22114,-2.64621,-3.20722
 8.03043 - 8.05043,-5.99607,0.994657,-6.45948,-2.42636,1.34021,1.08757,-4.15827,-1.38783,-3.63792,0.0991274,-4.44839,-2.18393,0.84435,-3.60282,-0.916642,-0.419235,-1.62539,23.007,-2.53109,-2.80059,-3.58496,-3.47936,177.376,187.455,670.734,-0.445865,-1.32842,-3.48022,0.102123,-1.34945,-1.61972,-2.51549
 8.01043 - 8.03043,-4.74249,0.518742,-5.15676,-1.95843,1.47158,0.418804,-6.8837,-2.60228,-5.05438,-6.70212,-3.64878,-6.35988,-2.87142,-3.91999,-0.471979,1.25754,-2.7827,31.4396,-2.69338,-0.406883,1.35715,-2.88394,3.04379,28.4797,54.2685,-0.151222,-1.4307,-3.39195,0.0553875,-2.22359,0.922029,-1.67639
 7.99043 - 8.01043,-5.36168,1.04871,-2.48427,-0.457832,1.08928,-0.5446,-6.57912,-3.60373,-3.07105,-5.39785,-4.01581,-5.99075,-2.48536,-4.32946,-2.66476,0.917265,-4.58058,27.8876,-2.92662,-1.09706,-2.00373,-3.77427,8.14269,3.34258,13.9128,-0.0158019,-1.06254,-1.83154,-1.80089,-0.550492,-0.546896,0.152342
 7.97043 - 7.99043,-4.41739,0.281395,-1.09211,-2.1379,-0.579465,1.85228,-5.13274,-1.90855,-2.60175,-4.25426,-3.5807,-5.15801,-1.6407,-4.99338,-2.72635,2.10039,-1.24929,11.1413,-3.91522,-2.10642,-4.07818,-3.70327,-4.79676,0.667379,4.93154,-0.224833,-3.22719,-1.48053,-0.217388,0.0594388,-0.481831,-1.82728
 7.95043 - 7.97043,-5.59214,0.373212,-3.55528,-1.6142,-0.40121,0.263697,-7.53452,-2.05732,-5.54866,-4.07738,-4.71298,-4.87891,-4.41306,-4.97283,-0.796144,1.17967,-0.908013,-11.1235,-4.68138,-1.80562,-3.4676,-4.57642,-3.32099,-1.84871,0.338425,-0.429895,-2.494,-0.562068,0.00133979,-5.22113,-1.316,-4.00658
 7.93043 - 7.95043,-5.45072,-0.730368,-4.06711,-4.07308,-1.88632,2.3159,-6.84983,-2.81268,-4.99076,-4.36003,-3.32411,-4.61972,-2.90654,-3.65815,-0.809813,0.807121,-2.00435,-32.4437,-2.81441,-1.79418,-3.86445,-5.78252,-0.534454,-2.56972,-2.51899,-0.288863,-2.21934,-1.57354,-0.688673,-3.79209,-0.115578,-6.39992
 7.91043 - 7.93043,-5.34894,-1.67474,-3.3544,-3.46386,-1.90006,-1.5359,-6.31832,-2.28839,-5.26031,-3.15411,-4.4614,-3.52148,-4.58452,-2.42468,-2.84017,-0.701736,-1.85918,-41.5266,-4.43692,0.404978,-3.20127,-3.476,-5.43892,-2.7169,-2.54264,-0.432664,-3.40538,-2.4601,1.11169,-4.31835,-0.590393,-3.14461
 7.89043 - 7.91043,-4.88751,-1.72955,-3.61161,-2.91975,-1.87186,-1.18131,-4.93789,-2.45081,0.361739,0.405251,-3.67675,-4.10041,-5.00374,-2.04742,-0.575857,-0.759017,-3.13341,-27.788,-3.03241,-0.867637,-1.49918,-2.36932,-3.64022,-1.60166,0.0060253,0.591656,-3.50093,-1.02123,-0.103256,-3.6193,-1.18371,-4.44751
 7.87043 - 7.89043,-5.75636,-1.59893,-2.74678,-2.69322,-2.69833,-1.19134,-6.94526,-0.874436,-4.27364,-5.47493,-5.09593,-3.01256,-3.54649,-3.82297,-1.21689,-2.62164,-4.85732,-5.55699,-2.80051,-2.04327,-0.108329,-2.40552,-1.03649,-2.31053,-1.58447,0.492569,-2.81271,-1.64835,2.12146,-1.4191,-1.63336,-6.37617
 7.85043 - 7.87043,-6.07905,-0.71872,-2.84513,-2.83877,-2.9642,-1.79623,-6.05389,1.3774,5.89723,-0.647674,-0.568005,-4.37037,-3.0343,-1.72529,-4.08419,-1.91745,0.554047,15.5846,-1.01184,-3.72245,-0.209184,-4.45325,-2.47802,-1.75016,-1.90303,0.506135,-5.19827,-2.88101,-0.511635,-4.23238,-0.998669,-7.24587
 7.83043 - 7.85043,-3.99465,0.514895,-2.97722,-4.73668,-3.5271,0.0689191,-6.69022,0.384264,5.77923,0.870458,-2.41978,-3.20735,3.64625,-3.76013,-1.13853,2.12028,-2.86803,32.0406,-5.06646,-3.2743,-1.82372,-4.73414,0.991954,-1.50357,-1.49024,0.454752,-5.03725,-4.0308,0.086579,-4.90628,-1.11369,-3.91739
